Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
damaged passport,142,1.32,8.45%,15.96%,00:03:15,2.79
chile,141,1.17,6.38%,46.67%,00:03:01,3.22
enduring power of attorney,141,1.30,24.82%,19.57%,00:05:32,3.35
home energy monitors,141,2.45,20.57%,18.50%,00:03:41,2.80
ID checking guidelines,141,1.17,4.96%,6.67%,00:01:27,1.54
lso1,141,1.24,2.13%,30.86%,00:02:50,4.09
nmw,141,1.30,2.84%,16.30%,00:02:50,2.72
number,141,1.14,18.44%,26.71%,00:01:40,1.82
Pension forecast,141,1.28,2.13%,11.67%,00:03:30,4.21
PN1,141,1.13,2.84%,15.09%,00:05:00,5.43
constructive dismissal,140,1.23,10.00%,15.12%,00:04:02,4.44
D798,140,1.19,13.57%,17.37%,00:02:51,2.34
documents,140,1.29,16.43%,51.67%,00:01:48,1.99
Istanbul,140,1.13,12.14%,9.49%,00:02:52,2.19
log on,140,1.10,13.57%,31.82%,00:03:27,3.36
map,140,1.30,17.86%,32.97%,00:01:20,1.65
ppi,140,1.21,60.00%,22.94%,00:01:15,0.66
State pension forecast,140,1.11,4.29%,10.97%,00:02:19,2.79
travellers,140,1.18,14.29%,49.09%,00:01:37,1.62
unemployed,140,1.31,12.86%,40.44%,00:04:04,3.36
bereavement leave,139,1.34,30.22%,36.02%,00:01:31,1.75
employment status,139,1.16,1.44%,27.33%,00:08:31,4.80
equality,139,1.47,15.83%,27.45%,00:02:36,2.37
helpdesk,139,1.24,10.07%,20.93%,00:03:41,2.35
interview,139,1.16,16.55%,24.22%,00:02:34,2.40
learning disabilities,139,1.74,20.14%,23.97%,00:03:31,2.63
minibus,139,1.33,9.35%,21.08%,00:03:50,3.01
northern ireland,139,1.24,27.34%,34.88%,00:03:19,2.76
solar panels,139,1.41,12.95%,19.39%,00:02:16,2.73
state pension forcast,139,1.45,1.44%,8.96%,00:04:54,5.56
supporting documents,139,1.24,8.63%,38.15%,00:03:22,2.33
TURKEY,139,1.18,3.60%,12.20%,00:01:37,2.65
better off calculation,138,1.28,23.19%,32.39%,00:04:14,2.72
grievance,138,1.27,7.97%,28.57%,00:04:14,3.30
vic1,138,1.13,2.17%,5.13%,00:03:32,2.75
consumer rights,137,1.33,7.30%,18.13%,00:02:51,2.18
disclosure and barring service,137,1.25,2.92%,24.56%,00:04:52,4.74
Login,137,1.10,23.36%,23.18%,00:01:50,1.55
new claims,137,1.18,12.41%,32.10%,00:04:18,3.21
apprentiships,136,1.31,4.41%,9.55%,00:02:50,4.08
better off calculator,136,1.27,16.18%,34.10%,00:03:49,2.99
Bus pass,136,1.21,3.68%,10.98%,00:03:18,4.50
China,136,1.18,8.09%,38.51%,00:02:55,2.50
DBS continuation sheet,136,1.15,4.41%,14.74%,00:01:40,2.12
employee rights,136,1.47,13.97%,41.00%,00:03:56,2.99
overseas passports,136,1.24,4.41%,10.65%,00:12:58,9.07
pension age calculator,136,1.21,1.47%,11.52%,00:04:00,7.06
spent convictions,136,1.51,13.97%,25.85%,00:03:17,2.53
V11,136,1.06,5.88%,25.00%,00:02:04,1.55
apply,135,1.08,19.26%,38.36%,00:02:44,2.27
child trust fund,135,1.23,7.41%,13.86%,00:04:15,4.13
congo,135,1.22,2.22%,53.33%,00:02:20,3.00
DFID,135,1.18,9.63%,26.42%,00:03:52,3.94
jsa rapid reclaim,135,1.24,2.22%,14.29%,00:06:43,4.15
malta,135,1.24,7.41%,38.32%,00:02:03,3.91
motorcycle tax,135,1.21,11.85%,13.41%,00:02:27,2.28
part time jobs,135,1.18,22.22%,13.84%,00:01:52,1.41
corporation tax,134,1.36,7.46%,19.78%,00:04:03,3.17
job vacancy,134,1.25,17.16%,21.43%,00:01:58,2.01
social fund loan,134,1.26,2.99%,19.53%,00:03:21,4.31
24 loans,133,1.17,2.26%,8.33%,00:04:25,4.35
apply for jsa,133,1.07,10.53%,16.20%,00:02:52,2.69
catering,133,1.51,15.79%,22.39%,00:02:57,2.99
lost v5,133,1.22,4.51%,17.28%,00:02:07,1.59
lost v5c,133,1.18,6.77%,12.10%,00:02:39,2.07
overtime,133,1.26,9.77%,23.35%,00:03:22,4.44
rapid claim,133,1.23,3.76%,19.63%,00:04:43,3.99
the green book,133,1.23,12.03%,31.71%,00:02:36,1.87
ukraine,133,1.12,3.76%,46.98%,00:02:03,2.59
countersign,132,1.12,6.06%,15.54%,00:01:42,1.68
guatemala,132,1.38,2.27%,37.36%,00:04:05,3.47
hazard perception test,132,1.28,21.21%,28.99%,00:01:28,2.08
restaurant,132,1.43,4.55%,21.69%,00:06:20,6.74
wages,132,1.30,11.36%,25.00%,00:02:40,2.97
winter fuel payments,132,1.26,3.79%,28.92%,00:03:59,4.73
apostile,131,1.27,10.69%,41.32%,00:04:02,3.07
ecuador,131,1.27,6.87%,40.72%,00:03:28,3.52
landlord,131,1.36,13.74%,20.79%,00:04:16,4.25
local office,131,1.10,12.21%,34.03%,00:01:54,1.87
lost log book,131,1.23,6.11%,13.66%,00:02:55,1.92
premises licence,131,1.34,3.05%,22.16%,00:05:28,4.59
switzerland,131,1.19,6.87%,39.74%,00:03:36,2.92
VISA,131,1.15,15.27%,22.00%,00:01:50,1.73
birth,130,1.25,6.15%,23.31%,00:03:53,3.80
birth certificate form,130,1.24,11.54%,33.54%,00:02:44,2.78
carer's allowance,130,1.13,6.92%,19.05%,00:04:28,3.95
community care grants,130,1.36,9.23%,20.90%,00:04:01,4.92
homelessness,130,1.30,7.69%,21.30%,00:03:50,3.23
hospital,130,1.21,26.15%,44.59%,00:02:03,1.81
jobs search,130,1.15,10.77%,11.41%,00:02:16,1.29
marriage certificate,130,1.40,10.77%,20.33%,00:03:15,2.32
ocrs,130,1.32,3.08%,12.28%,00:03:10,3.61
planning permission,130,1.18,7.69%,20.92%,00:03:01,2.35
Road tax,130,1.07,11.54%,9.35%,00:02:44,1.78
vic check,130,1.27,2.31%,6.06%,00:04:16,3.76
water,130,1.34,17.69%,38.51%,00:03:03,2.19
welfare reform,130,1.25,25.38%,26.38%,00:02:55,2.42
A,129,1.60,26.36%,24.15%,00:02:08,1.89
accea,129,1.22,0.78%,6.96%,00:04:24,4.24
advertising jobs,129,1.10,1.55%,4.93%,00:02:07,2.01
contracts finder,129,1.23,0.78%,5.66%,00:04:18,2.28
hc1,129,1.19,57.36%,22.22%,00:01:20,0.99
human rights,129,1.42,17.83%,24.59%,00:02:29,2.46
Incapacity benefit,129,1.24,5.43%,23.75%,00:06:05,5.01
job seekers allowence,129,1.16,0.78%,10.00%,00:04:25,4.05
lost provisional,129,1.19,7.75%,22.08%,00:05:18,2.74
moped,129,1.26,6.98%,22.22%,00:04:40,5.36
paper licence,129,1.19,13.18%,27.92%,00:03:16,2.42
PENSION,129,1.24,10.85%,24.38%,00:03:56,5.00
severe disability premium,129,1.55,10.08%,22.00%,00:05:12,6.25
social care,129,1.24,12.40%,29.38%,00:02:39,3.18
theroy test,129,1.17,3.88%,9.27%,00:03:04,2.06
booking practical test,128,1.80,0.00%,3.48%,00:08:20,4.49
care,128,1.27,17.19%,44.79%,00:02:20,2.20
NI,128,1.20,8.59%,27.45%,00:03:14,3.27
video,128,1.39,21.09%,24.72%,00:03:16,3.19
yemen,128,1.15,3.91%,46.94%,00:02:19,2.44
CAR TAX,127,1.12,0.79%,2.82%,00:02:23,1.60
climate change,127,1.49,13.39%,36.51%,00:05:01,3.55
dominican republic,127,1.22,5.51%,33.55%,00:04:02,4.20
history,127,1.22,15.75%,20.65%,00:03:37,2.02
Iran,127,1.22,5.51%,47.74%,00:02:18,2.30
jamaica,127,1.21,9.45%,36.36%,00:04:03,3.43
part time work,127,1.26,18.90%,33.75%,00:02:43,2.55
philippines,127,1.19,3.94%,38.41%,00:03:59,3.62
rwanda,127,1.30,3.94%,33.94%,00:03:18,3.79
bullying,126,1.49,7.14%,14.89%,00:03:27,2.86
C1 form,126,1.33,5.56%,33.33%,00:04:12,3.57
child tax,126,1.09,3.17%,24.82%,00:03:08,4.21
competent persons scheme,126,1.29,18.25%,9.26%,00:02:48,1.90
england,126,1.10,18.25%,56.12%,00:00:34,1.17
health and social care act,126,1.44,19.84%,19.34%,00:04:42,2.77
malawi,126,1.25,4.76%,37.34%,00:03:06,3.26
Maternity grant,126,1.17,4.76%,11.56%,00:06:35,4.12
nutrition,126,1.35,20.63%,34.12%,00:02:01,2.00
recycling,126,1.33,16.67%,23.21%,00:03:44,3.14
UNIVERSAL JOBMATCH,126,1.18,0.00%,11.41%,00:02:39,1.54
VIC,126,1.27,3.17%,11.25%,00:03:51,3.73
visa requirements,126,1.33,12.70%,37.13%,00:02:26,3.23
bereavement allowance,125,1.18,4.80%,33.78%,00:05:05,5.15
European Health Insurance Card,125,1.20,60.80%,11.33%,00:02:04,1.12
Jobsearch,125,1.09,4.00%,12.50%,00:01:44,1.38
longer lives,125,1.23,23.20%,12.34%,00:01:50,1.82
Morocco,125,1.21,6.40%,35.10%,00:02:29,3.25
nino,125,1.24,6.40%,12.26%,00:03:21,3.47
no secrets,125,1.26,4.80%,19.75%,00:01:54,1.52
older people,125,2.14,10.40%,17.54%,00:06:00,4.93
travel insurance,125,1.30,25.60%,22.22%,00:02:28,1.79
V778,125,1.21,8.80%,28.48%,00:03:14,2.76
consultation,124,1.35,12.90%,32.93%,00:02:44,2.66
early retirement,124,1.40,13.71%,25.43%,00:04:32,5.43
Employment and Support Allowance,124,1.25,6.45%,21.94%,00:05:36,5.87
esol,124,1.50,9.68%,20.97%,00:03:11,2.09
Social fund,124,1.21,12.10%,24.67%,00:02:52,3.50
spending review,124,1.34,24.19%,30.12%,00:01:35,2.15
tetanus,124,1.23,4.03%,11.76%,00:02:20,1.73
track application,124,1.10,4.84%,18.98%,00:02:04,1.95
utr,124,1.38,12.10%,19.30%,00:03:52,2.31
v10 form,124,1.24,8.06%,25.32%,00:02:45,1.45
v750,124,1.34,10.48%,25.30%,00:02:27,3.03
Attendance Allowance,123,1.18,4.07%,19.31%,00:05:05,4.74
book theory,123,1.22,4.07%,8.00%,00:01:44,1.78
dog,123,1.31,11.38%,29.81%,00:03:28,3.01
family mediation,123,1.54,18.70%,19.58%,00:03:18,2.72
fee,123,1.20,4.88%,30.41%,00:03:30,2.49
finance,123,1.18,8.94%,33.79%,00:04:09,4.10
fostering,123,1.16,4.88%,13.99%,00:04:01,4.15
lpa,123,1.28,1.63%,8.23%,00:06:42,5.61
national curriculum,123,1.28,8.94%,17.83%,00:02:45,2.92
national service framework,123,1.38,16.26%,28.24%,00:02:30,1.67
overtaking,123,1.20,3.25%,23.13%,00:03:22,3.64
pet,123,1.22,5.69%,24.67%,00:05:33,3.98
policies,123,1.30,12.20%,40.62%,00:03:19,3.44
REDUNDANCY,123,1.42,9.76%,12.00%,00:05:10,7.07
serbia,123,1.20,5.69%,47.30%,00:02:35,2.98
Travel,123,1.11,10.57%,35.77%,00:02:04,3.06
tribunal,123,1.30,9.76%,29.38%,00:03:25,2.32
university,123,1.14,19.51%,24.29%,00:02:33,3.16
young workers,123,1.42,8.13%,23.43%,00:03:30,4.50
care homes,122,1.34,17.21%,36.59%,00:02:57,1.89
cv template,122,1.13,52.46%,23.19%,00:01:08,0.75
dft,122,1.16,2.46%,49.65%,00:04:13,4.54
georgia,122,1.13,2.46%,44.20%,00:03:28,3.22
influenza,122,1.43,22.95%,28.00%,00:02:23,1.93
learning disability,122,1.80,25.41%,21.00%,00:05:33,2.91
living abroad,122,1.28,5.74%,35.26%,00:03:55,3.07
PFF2,122,1.16,6.56%,14.18%,00:03:12,4.05
Self employed,122,1.20,10.66%,22.60%,00:04:01,3.97
trailer,122,1.30,4.92%,27.67%,00:04:04,4.25
Worn,122,1.07,9.02%,77.86%,00:00:25,0.26
bereavement benefit,121,1.41,5.79%,22.81%,00:05:05,5.06
contact dwp,121,1.22,14.88%,33.11%,00:02:33,2.75
driving practical test,121,1.21,2.48%,13.61%,00:03:47,3.22
Fees,121,1.08,9.09%,35.11%,00:01:35,1.50
Google,121,1.34,52.07%,16.67%,00:01:07,0.80
IHT205,121,1.37,8.26%,48.19%,00:03:17,4.32
Income Support,121,1.21,2.48%,23.97%,00:05:23,4.59
labourer,121,1.43,17.36%,9.83%,00:04:02,1.72
sex discrimination law,121,1.42,6.61%,47.67%,00:06:30,3.47
workplace pensions,121,1.21,8.26%,18.49%,00:04:38,4.79
booking theory test,120,1.16,1.67%,4.32%,00:03:45,2.35
communication,120,1.28,16.67%,52.60%,00:01:10,1.03
disclosure and barring,120,1.21,10.00%,18.62%,00:03:30,3.83
limited company,120,1.34,5.83%,27.95%,00:05:18,4.68
online,120,1.31,11.67%,49.04%,00:02:52,3.02
Paternity leave,120,1.18,0.83%,22.70%,00:05:16,4.80
tourism,120,1.38,16.67%,31.33%,00:02:57,2.31
appointments,119,1.29,10.92%,33.12%,00:03:18,3.92
Apprenticeships,119,1.20,10.92%,14.69%,00:01:56,2.56
crb form,119,1.32,10.92%,35.03%,00:03:35,3.64
disciplinary,119,1.18,5.88%,20.57%,00:04:09,3.12
dvla contact,119,1.09,2.52%,11.54%,00:03:01,2.20
dyslexia,119,1.34,17.65%,24.38%,00:02:25,3.16
funeral payment,119,1.14,0.00%,19.12%,00:04:17,4.32
Israel,119,1.20,11.76%,39.86%,00:03:15,3.13
logbook,119,1.13,15.13%,31.85%,00:01:54,2.23
mortgage interest,119,1.19,5.88%,10.56%,00:04:00,5.09
National Insurance,119,1.20,3.36%,17.48%,00:04:14,4.58
notice periods,119,1.34,6.72%,26.88%,00:03:10,3.57
road tax refund,119,1.12,0.84%,12.03%,00:01:52,2.29
student finance england,119,1.16,5.04%,16.67%,00:04:03,3.66
vaccination,119,1.27,18.49%,37.75%,00:02:49,1.77
autism,118,1.44,22.88%,29.41%,00:02:21,2.05
bangladesh,118,1.31,7.63%,29.22%,00:02:34,2.93
continuation form,118,1.37,0.85%,52.47%,00:01:18,1.36
continuing health care,118,1.29,31.36%,30.26%,00:01:29,1.31
ECO,118,1.36,8.47%,23.75%,00:03:27,2.75
employer,118,1.16,14.41%,40.15%,00:02:06,2.47
health and safety at work,118,1.46,22.03%,33.72%,00:03:35,1.85
high hedges,118,1.61,11.02%,11.58%,00:03:57,2.35
JOB,118,1.19,10.17%,14.18%,00:01:50,1.82
logo,118,1.28,18.64%,41.06%,00:01:16,1.73
press,118,1.40,16.95%,29.70%,00:03:39,3.02
short term benefit advance,118,1.28,38.14%,29.14%,00:01:43,1.24
youth contract,118,1.43,25.42%,18.34%,00:03:54,3.02
car insurance,117,1.18,20.51%,18.12%,00:02:12,2.76
career development loan,117,1.23,5.13%,8.33%,00:04:31,4.15
chef,117,1.45,17.09%,12.35%,00:01:20,1.56
computers,117,1.20,37.61%,35.00%,00:01:55,1.30
contract of employment,117,1.26,5.13%,25.17%,00:04:44,3.81
cycle to work,117,1.20,12.82%,17.86%,00:02:03,1.56
emergency,117,1.32,10.26%,46.45%,00:03:53,3.23
guidance,117,1.25,17.95%,48.63%,00:02:17,2.32
industrial injuries,117,1.21,1.71%,26.76%,00:03:19,4.61
trading standards,117,1.15,13.68%,29.85%,00:02:49,2.25
twitter,117,1.16,17.95%,53.68%,00:03:03,2.42
Brazil,116,1.11,1.72%,36.43%,00:03:09,2.83
british passport,116,1.38,3.45%,21.88%,00:06:01,5.24
budget 2013,116,1.24,7.76%,20.83%,00:03:16,3.68
childminders,116,1.10,5.17%,11.72%,00:01:41,2.50
international driving licence,116,1.20,18.10%,14.39%,00:03:02,3.15
job opportunities,116,1.23,21.55%,31.47%,00:02:11,2.34
motorbike,116,1.23,10.34%,27.27%,00:04:39,4.46
Pregnancy,116,1.26,21.55%,32.19%,00:03:27,3.22
returning to work,116,1.14,12.07%,41.67%,00:04:24,3.54
STUDENT FINANCE,116,1.16,1.72%,7.46%,00:02:56,3.61
v756,116,1.58,6.03%,20.22%,00:02:14,2.17
whole of government accounts,116,1.34,17.24%,18.06%,00:02:14,2.02
admin,115,1.30,14.78%,14.00%,00:02:12,1.72
Birth to five,115,1.29,33.91%,22.97%,00:01:54,1.99
bolivia,115,1.23,2.61%,47.89%,00:03:20,3.37
cape verde,115,1.22,6.09%,28.57%,00:02:32,3.66
childminder,115,1.17,2.61%,13.33%,00:02:04,2.59
contract,115,1.20,6.09%,33.33%,00:03:43,3.49
Cyprus,115,1.11,5.22%,42.97%,00:02:34,2.87
domestic abuse,115,1.32,13.91%,25.66%,00:03:01,2.80
healthy start,115,1.37,5.22%,22.15%,00:04:41,4.19
radon,115,1.43,29.57%,17.68%,00:01:34,1.45
self-employed,115,1.28,24.35%,21.09%,00:03:55,3.27
student finance calculator,115,1.16,1.74%,9.77%,00:07:22,7.93
trade plates,115,1.23,4.35%,20.57%,00:03:42,3.17
V33,115,1.34,15.65%,18.83%,00:01:32,2.15
ATTENDANCE ALLOWANCE,114,1.18,4.39%,17.91%,00:03:50,4.26
carers credit,114,1.18,4.39%,20.00%,00:04:56,5.80
CHILD BENEFIT,114,1.19,4.39%,20.59%,00:03:28,3.23
Iraq,114,1.17,4.39%,59.40%,00:01:38,2.11
p11d,114,1.51,13.16%,18.02%,00:03:15,4.30
parents,114,1.13,21.05%,37.21%,00:02:09,1.89
Pension statement,114,1.08,2.63%,5.69%,00:02:29,3.25
teaching,114,1.23,13.16%,35.71%,00:02:34,2.18
Telephone number,114,1.09,27.19%,33.06%,00:01:19,1.31
theory test booking,114,1.14,0.88%,11.54%,00:02:33,1.68
Universal job match,114,1.08,7.02%,7.32%,00:01:38,1.30
weaning,114,1.23,24.56%,39.29%,00:02:19,1.74
adress,113,1.17,23.89%,31.82%,00:02:40,2.76
albania,113,1.18,7.96%,43.61%,00:02:37,2.72
driving instructor,113,1.41,5.31%,17.61%,00:05:15,4.46
INF4D,113,1.53,33.63%,20.81%,00:02:07,1.78
moving abroad,113,1.49,5.31%,16.67%,00:04:11,4.14
payment schedule,113,1.29,11.50%,45.21%,00:02:50,3.65
penalty notice,113,1.27,13.27%,29.17%,00:02:16,2.75
PENSIONS,113,1.18,13.27%,24.06%,00:03:51,5.07
safeguarding children,113,1.54,15.93%,29.31%,00:03:41,2.50
sales assistant,113,1.21,29.20%,10.22%,00:01:33,1.42
sick note,113,1.22,5.31%,28.99%,00:03:17,2.78
voluntary redundancy,113,1.30,18.58%,14.29%,00:04:50,5.42
working from home,113,1.42,22.12%,16.25%,00:04:16,3.59
baby passport,112,1.14,6.25%,20.31%,00:04:29,4.48
barbados,112,1.18,2.68%,35.61%,00:03:08,3.67
customer service,112,1.18,20.54%,32.58%,00:01:53,1.68
dbs forms,112,1.41,8.93%,34.18%,00:02:42,3.12
depression,112,1.34,20.54%,28.67%,00:03:01,3.18
fixed penalty notice,112,1.57,11.61%,24.43%,00:02:38,3.33
hardship allowance,112,1.30,32.14%,28.77%,00:02:38,3.27
living in spain,112,1.27,10.71%,24.65%,00:04:36,3.29
maternity allowence,112,1.12,5.36%,21.60%,00:05:01,4.82
morroco,112,1.14,7.14%,77.34%,00:00:59,1.50
mozambique,112,1.29,7.14%,30.56%,00:03:44,3.23
old age pension,112,1.20,5.36%,21.64%,00:04:37,6.43
Working tax credits,112,1.05,0.89%,11.02%,00:03:36,3.67
becas,111,1.21,22.52%,29.85%,00:02:23,1.80
c2,111,1.55,7.21%,26.74%,00:03:08,4.41
contact student finance,111,1.21,7.21%,11.94%,00:03:28,2.35
cycling,111,1.32,10.81%,26.03%,00:04:14,3.41
dvla offices,111,1.20,2.70%,15.79%,00:03:43,3.07
immunisation schedule,111,1.65,9.91%,22.40%,00:03:19,2.79
indeed,111,1.72,39.64%,18.85%,00:03:52,1.64
ministry of justice,111,1.14,7.21%,28.57%,00:03:57,3.57
passport prices,111,1.17,4.50%,19.23%,00:02:00,2.46
retirement pension,111,1.18,1.80%,22.90%,00:04:14,5.50
State Pension,111,1.24,9.01%,20.29%,00:05:19,5.40
V888,111,1.32,9.91%,11.64%,00:02:41,1.67
white paper,111,1.20,23.42%,45.11%,00:02:14,2.28
austria,110,1.22,4.55%,38.06%,00:02:40,3.28
british citizenship,110,1.25,10.91%,31.39%,00:04:43,3.38
car tax bands,110,1.20,4.55%,51.52%,00:01:09,1.58
d798,110,1.14,11.82%,24.00%,00:02:57,2.15
dbs code of practice,110,1.32,8.18%,20.69%,00:03:03,2.91
Disability living allowance,110,1.15,2.73%,23.62%,00:05:25,5.17
disabled,110,1.24,5.45%,44.12%,00:04:28,4.72
embassies,110,1.33,8.18%,40.41%,00:02:59,2.91
European health card,110,1.15,70.91%,15.87%,00:00:49,0.56
foi,110,1.38,7.27%,29.61%,00:05:10,5.13
food labelling,110,1.37,5.45%,19.87%,00:03:42,3.21
hepatitis b,110,1.33,7.27%,19.86%,00:01:51,1.46
myanmar,110,1.34,12.73%,21.77%,00:03:17,3.33
NI number,110,1.13,6.36%,12.90%,00:02:41,2.93
pay fine,110,1.11,5.45%,22.95%,00:02:44,1.75
pr1,110,1.26,5.45%,18.71%,00:04:10,4.61
speeding,110,1.26,12.73%,21.58%,00:02:04,2.69
trees,110,1.38,23.64%,24.34%,00:02:04,1.51
uae,110,1.27,5.45%,39.29%,00:03:23,4.04
b1,109,1.17,10.09%,31.50%,00:02:13,2.05
child benifit,109,1.16,7.34%,26.19%,00:03:43,4.20
data,109,1.25,24.77%,33.82%,00:02:40,2.08
jsa claim,109,1.25,6.42%,8.09%,00:03:10,3.21
lost license,109,1.19,4.59%,10.77%,00:02:45,1.97
montenegro,109,1.24,4.59%,45.93%,00:02:16,3.56
passport cost,109,1.13,3.67%,16.26%,00:02:12,2.72
practical,109,1.14,0.92%,8.06%,00:03:14,2.31
rent,109,1.21,6.42%,43.18%,00:03:10,2.78
self certificate,109,1.26,14.68%,21.17%,00:01:22,1.67
teenage pregnancy,109,1.68,19.27%,20.22%,00:03:44,2.72
tenerife,109,1.17,9.17%,29.13%,00:03:00,3.17
united states,109,1.11,10.09%,49.59%,00:01:49,2.51
age,108,1.18,11.11%,57.48%,00:02:09,1.77
belgium,108,1.19,3.70%,38.76%,00:04:59,4.35
BENEFIT CAP,108,1.27,4.63%,13.14%,00:03:12,1.76
booking driving test,108,1.17,7.41%,5.56%,00:02:06,1.82
cannabis,108,1.63,13.89%,14.77%,00:02:48,3.02
change in circumstances,108,1.16,16.67%,29.60%,00:02:51,2.79
child protection,108,1.45,29.63%,36.31%,00:02:17,1.39
cv builder,108,1.18,62.96%,9.45%,00:02:09,0.75
end of life care,108,1.33,20.37%,20.83%,00:02:30,1.78
fast track passport,108,1.17,8.33%,15.08%,00:02:10,2.70
gambia,108,1.23,3.70%,38.35%,00:03:18,3.83
Honours,108,1.14,4.63%,10.57%,00:02:37,2.96
JOB SEARCH,108,1.15,10.19%,10.48%,00:02:53,1.45
nursing,108,1.30,19.44%,34.29%,00:02:17,2.31
overseas visitors,108,1.49,11.11%,18.01%,00:03:06,2.31
sanction,108,1.60,12.04%,27.17%,00:04:29,3.64
solar,108,1.45,17.59%,23.57%,00:04:20,2.64
theory tests,108,1.20,3.70%,10.00%,00:02:41,2.02
v20,108,1.16,6.48%,14.40%,00:02:34,1.81
will,108,1.14,5.56%,19.51%,00:03:57,4.64
bahrain,107,1.17,5.61%,38.40%,00:03:10,3.22
book test,107,1.28,11.21%,22.63%,00:01:47,2.12
bursary,107,1.26,15.89%,16.30%,00:02:26,2.35
change of circumstance,107,1.21,9.35%,40.77%,00:02:11,2.16
cleaning jobs,107,1.31,21.50%,12.14%,00:02:05,1.57
Contact numbers,107,1.04,18.69%,34.23%,00:01:53,1.28
dclg,107,1.16,9.35%,31.45%,00:03:53,3.92
download forms,107,1.17,5.61%,59.20%,00:02:35,1.98
Employment and support allowance,107,1.13,2.80%,26.45%,00:05:31,5.23
fit note,107,1.36,11.21%,15.07%,00:03:41,2.84
iht205,107,1.43,12.15%,37.91%,00:03:07,4.99
Nigeria,107,1.22,5.61%,30.53%,00:04:39,2.59
Pakistan,107,1.10,4.67%,40.68%,00:03:05,2.74
pay a court fine,107,1.08,1.87%,4.31%,00:04:22,2.04
pbr,107,1.41,12.15%,36.42%,00:02:49,2.09
refund,107,1.15,8.41%,26.02%,00:03:04,2.63
renewat70,107,1.16,0.93%,7.26%,00:06:55,2.29
tender,107,1.46,9.35%,15.38%,00:02:17,2.88
advanced learning loans,106,1.10,0.94%,10.26%,00:03:21,3.66
advertising,106,1.13,5.66%,15.83%,00:02:29,2.16
change adress,106,1.15,8.49%,19.67%,00:04:26,2.11
Croatia,106,1.15,9.43%,39.34%,00:01:43,2.86
customs,106,1.24,17.92%,30.53%,00:02:55,2.30
glasgow,106,1.17,20.75%,29.84%,00:02:48,2.55
income suport,106,1.34,3.77%,23.94%,00:05:25,5.76
INF2,106,1.34,22.64%,40.14%,00:02:57,3.63
jobcenter,106,1.27,16.04%,19.26%,00:04:19,2.79
mental capacity,106,1.37,11.32%,32.41%,00:03:53,3.87
reference costs,106,1.40,12.26%,20.95%,00:02:20,1.84
renew adi registration,106,1.15,0.00%,1.64%,00:07:17,2.06
spp,106,1.13,3.77%,18.33%,00:02:14,3.80
Ssp,106,1.13,4.72%,24.17%,00:03:34,4.56
support an application,106,1.11,5.66%,35.59%,00:04:37,3.89
tax credit calculator,106,1.19,3.77%,8.73%,00:02:44,2.33
asylum,105,1.42,11.43%,19.46%,00:04:10,3.75
attendence allowance,105,1.16,2.86%,20.49%,00:05:20,4.63
check and send,105,1.21,4.76%,11.02%,00:02:50,2.67
Childcare,105,1.17,15.24%,15.45%,00:02:48,2.78
copyright,105,1.14,12.38%,24.17%,00:02:14,1.94
driving instructors,105,1.58,15.24%,22.89%,00:03:30,2.95
home,105,1.08,13.33%,50.44%,00:03:11,2.37
LOCATE,105,1.23,19.05%,31.01%,00:03:05,3.71
lost passports,105,1.27,4.76%,18.05%,00:03:47,3.90
MATERNITY,105,1.47,6.67%,13.64%,00:05:27,6.71
panama,105,1.18,4.76%,45.16%,00:01:33,2.29
Practical test,105,1.18,2.86%,17.74%,00:03:26,3.39
Provisional,105,1.16,10.48%,14.75%,00:03:44,2.02
South Africa,105,1.21,9.52%,36.22%,00:03:13,2.79
travel document,105,1.51,13.33%,30.82%,00:03:46,3.31
uk border agency,105,1.49,5.71%,21.15%,00:04:22,3.61
Book theory test,104,1.12,5.77%,6.03%,00:01:33,1.72
Careers,104,1.15,36.54%,26.67%,00:01:26,1.14
D777B,104,1.23,2.88%,17.19%,00:03:20,2.60
disability discrimination,104,1.35,5.77%,33.57%,00:04:52,3.67
jsaonline,104,1.24,1.92%,14.73%,00:03:44,3.62
medals,104,1.60,11.54%,19.88%,00:04:44,2.50
sweden,104,1.17,2.88%,46.72%,00:02:03,3.95
tax bands,104,1.11,3.85%,31.30%,00:01:08,1.84
transit visa,104,1.15,22.12%,10.00%,00:02:26,1.63
uk visa,104,1.06,19.23%,24.55%,00:01:17,1.12
book practical driving test,103,1.10,2.91%,5.31%,00:02:34,1.87
dbs referral form,103,1.35,8.74%,14.39%,00:03:51,2.15
finance bill 2013,103,1.32,5.83%,11.03%,00:03:11,2.89
free schools,103,1.50,7.77%,18.18%,00:03:37,3.21
health visiting,103,1.72,13.59%,19.77%,00:04:47,4.07
landlords,103,1.18,9.71%,32.79%,00:03:36,3.32
make a new claim,103,1.20,15.53%,37.90%,00:03:27,1.96
operators licence,103,1.27,2.91%,25.19%,00:03:31,2.91
party wall,103,1.10,13.59%,21.24%,00:00:57,1.12
post office,103,1.19,19.42%,24.39%,00:02:05,2.14
public holidays,103,1.31,7.77%,28.89%,00:01:48,2.58
rail,103,1.25,14.56%,34.88%,00:03:16,3.69
redundancy payments,103,1.28,6.80%,21.97%,00:05:55,6.96
